indiv	AGE	SEX	PC1
2421814	67	1	23.1404
5943759	56	0	404.96
3717046	50	0	-6.83722
2714493	61	0	-14.073
1978314	60	0	4.41275
5959023	66	1	-11.9923
2477461	51	1	55.1192
3164421	51	0	23.3411
2565209	42	0	369.458
3511942	57	0	19.5758
5025240	50	0	0.351232
4147334	57	1	407.558
5896521	54	0	64.3013
2095529	67	1	1.56372
1172296	53	1	65.8445
3298413	45	0	55.4386
1563643	44	0	68.8596
3165466	63	0	-10.874
3650889	55	1	405.39
3245129	52	1	97.6492
1423961	59	1	-11.488
1983901	54	0	-12.3534
2537323	53	0	97.3161
3361688	66	0	21.4489
3150727	65	1	95.9209
3550782	43	0	233.205
4501963	48	0	-9.78018
5762316	57	0	7.37226
3216964	69	0	122.546
2479300	53	1	57.3914
4952229	52	1	157.196
5186530	59	0	-12.147
5874495	49	1	4.58059
1111688	66	0	160.325
3316565	61	1	-5.51577
3360110	58	0	118.489
1550243	63	0	21.4164
4180713	53	0	46.8554
4832714	47	0	71.5167
2089952	47	0	1.82341
2050289	59	1	-14.3451
5115336	43	1	-1.94253
3572180	61	0	99.5693
4124602	64	1	404.061
3457962	57	0	24.1021
3531440	45	1	1.47565
4314072	65	1	349.51
5687736	47	1	-13.8379
5262346	50	1	-9.3414
1785032	66	0	-10.4141
2112681	62	1	34.4683
5602010	45	0	336.442
1721839	50	0	105.684
2589863	58	0	56.9794
1911725	47	0	17.932
5892881	40	0	153.417
5900372	53	0	78.3461
3761118	67	1	-5.25372
3642805	55	1	80.5123
4923587	61	0	-15.5156
2614572	44	1	-15.2595
1859243	52	0	-11.1713
4481792	67	1	-13.4732
3117325	57	0	19.1852
4500720	45	1	-10.9379
5240165	64	1	19.9165
2561487	64	1	19.3602
3516035	47	0	312.369
5728085	46	0	-3.76993
1817334	46	0	382.994
4003308	63	0	-13.2713
5504084	65	0	4.61744
3878372	65	1	161.246
2204347	43	0	-6.54974
3175647	46	0	-11.9266
1817266	49	1	65.595
4111190	54	1	71.3917
5712995	66	0	370.972
3158937	61	0	-6.87835
5866031	47	0	11.6077
3238445	42	1	69.6198
2480047	41	1	-10.0151
2778869	61	1	3.01194
4225637	49	0	1.77042
1382925	47	0	17.4391
4993640	63	0	-16.0157
3426449	63	0	26.614
2141770	59	0	-1.68312
3144471	64	0	-4.60368
3373331	62	1	-8.35879
1402688	65	0	18.0738
1504032	41	0	67.61
2378630	43	1	-8.26351
5455676	56	1	88.3685
3354429	59	1	251.245
1166984	50	0	72.5049
2991665	53	0	33.4375
2801136	47	1	24.0505
4190359	45	0	407.794
3165970	58	0	87.9106
3958871	55	0	235.796
4592894	41	1	21.8685
1449462	65	1	-10.7018
3067797	57	0	7.42224
2670285	54	1	-11.4736
4688878	42	0	26.0816
1401774	64	1	-11.8633
2038950	62	0	-14.9968
4059611	48	0	2.37798
5874982	61	1	31.5938
4198119	62	1	75.973
1205242	66	0	400.333
1350059	66	0	21.3058
4348874	55	0	-8.22606
5095841	68	1	83.4115
5709942	41	1	-6.40141
4483066	59	1	26.686
2379690	56	0	-5.27292
4610007	53	0	192.884
5721327	53	0	77.6309
4483110	48	0	75.6696
5547855	47	0	87.096
3271299	64	0	-9.46416
1030403	67	1	58.0778
4203077	62	1	66.8113
2446491	67	0	-14.0073
4062901	66	0	215.491
4132526	47	0	399.504
5678503	67	1	-2.69907
5790842	51	0	59.9433
4885264	47	0	308.642
3044110	59	1	-3.6514
3593921	54	1	158.843
3902066	51	1	409.235
5469900	60	0	159.052
1161390	68	0	394.215
5384496	52	1	-11.6461
5052236	54	0	408.674
4912065	62	1	21.8053
4273252	49	0	-13.1025
5219756	67	0	42.9589
5599907	54	1	21.3123
2777865	46	0	-10.6077
2535740	60	1	66.9076
1687221	41	0	359.142
4987407	60	1	-12.8116
3452145	67	1	17.297
2711318	66	0	310.461
2337887	45	0	388.743
3120732	55	1	403.613
1165405	66	1	78.9643
3365256	69	0	119.879
3873127	41	0	246.998
4427818	50	1	-6.97189
4486719	57	1	73.5769
1142222	41	0	-8.94024
